time,lin_x,lin_y,lin_z,lin_res,rotvelx,rotvely,rotvelz,ang_vel_res,rotaccx,rotaccy,rotaccz,ang_acc_res
0.005,8.826685234305039,-42.25503143945488,51.63347375065867,67.30091875847444,0.0,0.0,0.0,0.0,-158.42926829050705,117.8576664591983,-602.8013349330568,634.3183049474044
0.0053125,10.237891994656229,-36.19972770711536,49.962998321861505,62.54227306289624,-0.03937862999943836,0.036272687900417856,-0.18996795046917286,0.19736820056334278,-93.5939637058982,114.28753610347576,-612.9935480696486,630.5414823196019
0.005625,11.665162728317997,-31.4300295012594,48.16286257321025,58.682059500107115,-0.06317257379646435,0.07126680040044062,-0.3833589247466822,0.3950111341498089,-58.6872765950684,109.6747838966703,-624.7086873064136,636.9722903337553
0.0059375,13.04437716381932,-29.68380195217371,45.79736317583294,56.11312099488837,-0.08518081957438997,0.1045144785604559,-0.5808395929736101,0.5962832221502445,-82.16549638365541,103.11035632742733,-639.1675893459242,652.624027789524
0.00625,14.228945347770278,-30.546894420152995,43.00060647637016,54.63174719667544,-0.12181411495123831,0.13548711200753816,-0.7831176098883599,0.8040327275918276,-152.28759402817377,95.11449773389904,-655.4117189084736,679.5607406675447
0.0065625,15.101639101021826,-32.94463255126418,40.06733187292285,54.02591416061616,-0.18382001021036326,0.1638697505080257,-0.9905031253013888,1.0206564223660768,-244.55013563022655,86.5343886692217,-671.8555797349145,720.196424095577
0.006875,15.607875585332238,-35.66492078312919,37.33093527763018,53.93691763029015,-0.2738412109782883,0.1896171848660792,-1.2027513719812761,1.2480202516102992,-331.585549284493,78.2491912223204,-686.5331990163631,766.4200844007727
0.0071875,15.763738260129932,-37.78963777933171,35.06649323146626,53.909285980983356,-0.38688974530769216,0.21294193064084382,-1.419003886394006,1.4861359192384098,-391.92507042369107,71.02918173617309,-697.4828932251066,803.2015885357741
0.0075,15.638978852363252,-38.912511229899394,33.44336260258807,53.639721214132884,-0.5130029306547964,0.2342815694613783,-1.6378587318601066,1.7322358633223403,-415.1993157977777,65.54450671524773,-703.1881177579398,819.2436042810722
0.0078125,15.324624916850423,-39.125546056307854,32.52519318910745,53.13699911582495,-0.6408478518414131,0.2542777591164879,-1.8575685801970807,1.9813894564487957,-403.0081797965686,62.43110707745382,-702.9549115986938,812.6861902693975
0.008125,14.899180451592471,-38.840336487016984,32.29699810483228,52.66548588152736,-0.7610348514084764,0.273766941695133,-2.076328512006083,2.228286892030024,-366.1886174326355,62.29966142587455,-697.1086519789187,789.8960843141766
0.0084375,14.406060787292487,-38.54967583291009,32.694625034912136,52.55997146501434,-0.8682672313376215,0.2937540105240865,-2.292585902457703,2.4690341277231234,-320.09861411389284,65.61757907942774,-686.9386469114488,760.6927724531186
0.00875,13.8493771726761,-38.626503178933646,33.61989980953017,53.04818242980677,-0.9619859683697305,0.3153307492778929,-2.5052942256713844,2.702100968128835,-279.7013028916044,72.4735489449331,-674.3946216561089,733.6847687219771
0.0090625,13.208109934001008,-39.21724344007302,34.93845322632631,54.15848839207754,-1.0456628911448307,0.33951532845866134,-2.7140461417461896,2.9282636492814533,-255.83100286903937,82.30775781198554,-661.6176412226523,714.1162175738912
