LinAccX,LinAccY,LinAccZ,LinAccRes,rotvelx,rotvely,rotvelz,RotVelRes,rotaccx,rotaccy,rotaccz,RotAccRes,t(ms)
0.2609442473045272,-0.3523902306271796,-0.12783367395362796,0.4567408707782626,0.1691786747857388,0.0022924853365689207,-0.20305913189385946,0.2643098381384336,35.13568500315151,-10.903855023830602,82.91165295967855,90.70696010520678,1
-0.0679231041809053,-0.49548394050969147,0.2814952189192454,0.5738967168916158,0.20416322434103437,-0.00858073955857127,-0.12013220781013817,0.2370400780839345,-54.55178553005286,3.805545474167874,7.412598047678812,55.18447327545399,2
-0.17927298127295566,-0.30940232490371355,0.30974578851929274,0.47308672986647493,0.1821133982024832,-0.01182713319950601,-0.09736006246806811,0.20684330457706673,-66.83967516225741,-1.0079806732531735,-39.36889474484736,77.57878623866586,3
0.016380479260204566,0.2661012962197137,-0.13902501458620936,0.30067619565123793,0.12085093514093177,-0.017035746898898904,-0.1451840301687853,0.18966699189076577,21.665917413736242,-30.935372296982965,-41.1647250842819,55.865408150270305,4
0.38640190752178194,0.878440988483144,-0.7352184240300708,1.2089297479245746,0.10942356220412369,-0.05314766581530785,-0.21301010536243878,0.24529878787628087,147.37687849624106,-70.43619379580082,-7.670955039191375,163.52383698699316,5
0.5800665224919532,0.9153856383354785,-0.8593105283273941,1.3830483077177977,0.22044629951051267,-0.13508432917978466,-0.23717164354562736,0.35084859335611596,181.31442718735116,-85.76166110756625,21.254303465812807,201.69712302862223,6
0.185136296187705,-0.029121038679765145,-0.015540749307845558,0.18805583731684405,0.39658874153656876,-0.22240972889858,-0.21040743714437032,0.5010189687306872,18.328512355573416,-38.798884141550936,-4.451913534404618,43.140552962563135,7
-1.013196448766968,-1.6404564851437062,1.70477291844558,2.5736968016667188,0.42354238146046913,-0.21384789864696116,-0.20882414122163914,0.5183884591750492,-310.82777264369673,94.36087992332703,-104.15774057464164,341.125658413671,8
-2.821570891211269,-2.7903480957985702,3.480849416923982,5.27859995199082,0.07657651106305806,-0.0008213671462426633,-0.33633181965219533,0.34494018264205817,-599.4410372266614,308.9140578919453,-233.3690491468584,713.5955194466628,9
-4.612871960612365,-2.1417122839696985,4.157172370844681,6.568683380497561,-0.6127301062476331,0.45925337933558286,-0.6160321624587113,0.9827753938296098,-565.3164781101932,565.3049155692311,-291.2639237847382,850.8742805421549,10
-5.514553818662155,0.8586936222184358,2.9786917061656277,6.326157035368302,-1.199958970044066,1.1267017248389424,-0.9170280814013487,1.8842236620483521,-50.475904209877605,791.9583030436196,-174.23370666317345,812.4673256218513,11
-4.746967008994995,5.3594621099791295,0.11387913075301694,7.160342055321792,-1.0163348263996226,1.9303297449336685,-0.9906809806714529,2.39594620327598,828.0580551454295,900.3856564724241,157.46717517843194,1233.35736278306,12
-2.010114899533339,9.429624967988532,-3.4768327151914598,10.24923190661936,0.345733408206319,2.7898912949898493,-0.6013119111410347,2.8748219148131904,1716.2650148746534,819.4501974868003,647.2430490343771,2008.9768022471458,13
2.2227011523944644,11.213461315499945,-6.662144036172129,13.231261400402206,2.652006939576556,3.558712125812478,0.3463512281194757,4.4516886655725205,2246.053628945061,542.9088101998473,1167.4738461651668,2588.9190913911502,14
