time,lin_x,lin_y,lin_z,lin_res,rotvelx,rotvely,rotvelz,ang_vel_res,rotaccx,rotaccy,rotaccz,ang_acc_res
0.005,-7.3191483033669344,2.91728948751296,-9.267940689784622,12.16450716099909,3.2134877206854777,1.6324352401540705,1.4895756950959431,3.9000235763023006,16.935390115607472,46.53558170784186,6.781926080746261,49.98362056333802
0.0053125,-8.153715483416406,3.3841073668431423,-8.837694692429542,12.491601431819051,3.2205804517244423,1.647879411775939,1.4923123077036318,3.9133925212669847,28.45808853376996,52.307116672117694,10.732394608462169,60.50687193681533
0.005625,-8.83645803211402,3.490537880557244,-8.57010358963038,12.795058451836512,3.231274026019083,1.6651271880741445,1.4962834417262325,3.9309851846163677,36.363089924513154,56.41979548410657,13.47499165296048,68.46198237981426
0.0059375,-9.133000412612862,3.1115141657348695,-8.598643588214083,12.924004352269874,3.243307382927262,1.6831417839535068,1.500734177486732,3.9502167176646723,37.21676133747352,57.008094906919865,13.880141628391232,69.48142587045149
0.00625,-9.01826893886124,2.385229720109272,-8.819570524235306,12.837574525714826,3.2545345018550034,1.7007572473909698,1.5049585302439767,3.9685602195344867,32.32120675081738,54.17755843270962,12.437046386724235,64.3004538583071
0.0065625,-8.580104350087284,1.537595281060199,-9.080504249825662,12.587213644720075,3.2635081371465233,1.7170027579739502,1.5085073314784343,3.9842412328115766,24.300042116244537,48.923871123365,10.071136956450486,55.546962222451626
0.006875,-7.982651847853618,0.8103552963469174,-9.239179576127889,12.236905060933381,3.2697220281776564,1.7313346668430727,1.5112529908417582,3.9965594543921124,16.018981783085902,42.784489059559,7.705528054086202,46.33028646627032
0.0071875,-7.416387373645679,0.3938039280755083,-9.20758628114056,11.829519361934643,3.273520000760953,1.7437430636361746,1.5133232865122384,4.0058357975410654,9.693572864335543,37.43298235213032,5.930533889742507,39.11987672358473
0.0075,-7.047778565478885,0.3813864899614903,-8.970902273649257,11.414627719120503,3.275780511217867,1.7547302808131533,1.5149595745228477,4.013093423845979,6.413831637836477,34.29840726234493,4.8767406155577095,35.23209582246872
0.0078125,-6.979416913469381,0.755046400197022,-8.580793074193194,11.086584925061226,3.2775286455346007,1.765179568175139,1.516371249396962,4.019631164199092,6.1309461198179465,34.2619923495948,4.299226918157913,35.07072813874296
0.008125,-7.227850796882484,1.400859234423045,-8.130655559027275,10.968673281495999,3.2796123525427543,1.7761440260316483,1.5176465913466963,4.026635811739768,7.991582169460537,37.46182244626737,3.803446093877444,38.49311274443693
0.0084375,-7.722339789039676,2.14688415715289,-7.724048097531447,11.131242626706085,3.282523384390513,1.788593207204055,1.5187484032056364,4.034925295735561,10.818477402874707,43.228125156257285,3.1009288251911302,44.66907226952957
0.00875,-8.323917971997675,2.810897114391846,-7.4466630697371725,11.517011064787154,3.286373900919553,1.8031616042543064,1.5195846718624408,4.044846444880379,13.536879336228823,50.170666055024064,2.184845288173033,52.010733349008014
